,PC1,PC2,PC3,PC4,PC5
EURUSD,-0.3044062768863021,-0.3078644064702316,0.02019805968666273,0.06445939288168578,-0.004637568142900186
GBPUSD,-0.28220784348177214,-0.09841823691888849,0.0534220202257855,0.06585332073007011,-0.06619310842370185
AUDUSD,-0.3286864727237617,0.11046847267306611,0.01120147713087705,0.007932518731495513,-0.015727268258944407
NZDUSD,-0.3236525438495053,0.023653352771436327,0.0069123689331699574,-0.0022066442846139646,-0.017388118241671312
JPY,0.17862335341829388,0.4511205339570672,0.07812068891633153,0.12214528341786239,-0.31523414313123876
CAD,0.2812845352602329,-0.17743708497575716,-0.0232044311101995,-0.08255744964251897,0.09062339522124468
CHF,0.22794060088581541,0.44177378304886633,0.008033710491347759,0.023216109830748056,-0.13213135721983005
SEK,0.31492766878921197,0.13888513575744665,-0.02998013015704743,-0.1716429686804817,0.2204568422914891
NOK,0.19563493286023936,-0.09007354424152435,-0.07427230186534355,-0.40357944035722465,0.521491991981651
MXN,0.15481061676377433,-0.31224386841654317,0.028544711253153304,-0.17672622601550741,0.04899524969464023
BRL,0.1666615240463901,-0.3511131924891156,0.12459930099171389,0.11169875604867564,-0.27110748328525147
ZAR,0.2077432397187144,-0.2875059684346437,-0.00022531025337073324,-0.04698519641280755,-0.13616194564844647
INR,0.15820722924205144,-0.3144734584187469,0.01829401019178469,0.22621284967860028,-0.2666685571744954
KRW,0.26048993461056236,-0.1400225993746463,0.029133097135927644,0.21923431316487763,-0.17218639316446602
SGD,0.3470836923177437,0.05014631256158001,0.003296037219933334,0.09614885294116421,-0.098821306722852
TWD,0.02416331887218132,0.02733097397711679,0.9533116085397765,0.12056413043164313,0.2576780782049856
HKD,0.07508647534400106,-0.0035538659858486243,-0.2389701422864141,0.7796768818922096,0.5273371795626077
